"","V1"
"21075",1.32088506296333
"21107",2.31959510495694
"21063",3.4282139296863
"21051",3.58959098053494
"21007",3.79803768955572
"21027",3.98089564234872
"21009",4.08267897157296
"21069",4.3084834546152
"21053",4.31257706815137
"21057",4.36336627893977
"21043",4.42893686151172
"21015",4.47987023063062
"21041",4.52901681195849
"21095",4.53615441075157
"21117",4.72462524637637
"21097",4.77963505416521
"21031",4.83565491536669
"21115",5.08545017332575
"21047",5.25467921412317
"21079",5.65318065592234
"21071",5.65326582836393
"21065",5.74303995578506
"21029",5.77858788314485
"21005",6.13987535803537
"21037",6.29031182697858
"21035",6.33916412500115
"21023",6.34349190466512
"21085",6.36399175737871
"21081",6.38454322685489
"21067",6.45730213763098
"21061",6.50587852843901
"21089",6.6493014036852
"21021",6.67674895838545
"21011",6.77719159218055
"21101",6.9452629092854
"21119",7.17490661210542
"21045",7.52222290203848
"21125",7.7520709342322
"21111",7.93654473133608
"21141",8.05890747730378
"21039",8.06207867745435
"21083",8.49808895045072
"21049",9.45571404603451
"21099",9.48206681207546
"21001",9.70701223351034
"21025",9.96769556462318
"21055",10.0532421614131
"21003",10.3052183403751
"21013",10.8163505401016
"21033",11.9390146916004
"21121",11.9416558239163
"21073",12.250797020541
