"","V1"
"39051",3.58610302716504
"39077",3.95278967634311
"39013",4.09061183880251
"39039",4.12093196128992
"39079",4.16686802827451
"39037",4.5762933847423
"39035",4.72701724064968
"39015",4.94859206656073
"39007",5.03299819872484
"39055",5.06235931910795
"39059",5.47510119774861
"39057",5.53884050187042
"39029",5.54522732970759
"39019",5.64296275345808
"39023",5.82383162013068
"39085",5.98298236471978
"39043",6.2531830363109
"39053",6.49211801500689
"39047",6.51318191684882
"39045",6.56466096643558
"39091",6.63540403593969
"39017",6.6889055205619
"39005",6.92965959735513
"39063",6.96010016817757
"39075",7.20358691963391
"39025",7.28929627483005
"39021",7.78725845952084
"39081",8.27603665874915
"39065",8.4569401467147
"39049",8.53158481070446
"39031",8.61200698861747
"39003",8.77203103484462
"39009",8.79680605368388
"39001",9.23030375003267
"39011",9.25059248664151
"39033",10.0217938707349
"39089",12.747532586829
"39041",13.9169568475128
