"","V1"
"42029",1.52508233982867
"42017",1.91165362499626
"42011",1.97829753451225
"42045",2.03681673087852
"42033",2.33564151485713
"42005",2.85259665948544
"42031",3.42801369115045
"42019",3.51251062622685
"42007",3.59981143970001
"42021",3.90640334246164
"42051",4.10682837866146
"42043",4.18273714813289
"42035",4.28126826132092
"42037",4.94296743236536
"42009",5.34002347751003
"42013",5.34005474040486
"42023",5.50072823307789
"42039",5.61499665385677
"42003",5.95231553511273
"42047",6.33465349332437
"42049",6.49534527283014
"42041",7.23121720069129
"42001",9.55641540330473
