"","V1"
"54031",1.13296477577314
"54037",1.94083852940193
"54045",1.9436082273198
"54003",2.03074141175795
"54065",2.54891136994602
"54007",2.67894306853591
"54047",2.87798785645581
"54035",2.91803684214311
"54025",3.00380724230201
"54029",3.24186829904246
"54057",4.28057118915628
"54053",4.2820609742205
"54049",4.36737408796909
"54023",4.72162876929083
"54019",5.34788797253506
"54051",6.17709050219441
"54039",6.22484392848591
"54015",6.76887542883293
"54001",7.64482358055416
"54017",7.75007383929664
"54013",9.47120802951881
