Year,GEO.id2,HC03_VC03,HC03_VC04,HC03_VC05,HC03_VC06,HC03_VC07,HC03_VC08,HC03_VC09,HC03_VC10,HC03_VC11,HC03_VC12,HC03_VC13,HC03_VC14,HC03_VC17,HC03_VC18,HC03_VC26,HC03_VC27,HC03_VC28,HC03_VC29,HC03_VC30,HC03_VC31,HC03_VC32,HC03_VC36,HC03_VC37,HC03_VC38,HC03_VC39,HC03_VC40,HC03_VC41,HC03_VC43,HC03_VC44,HC03_VC45,HC03_VC46,HC03_VC47,HC03_VC48,HC03_VC52,HC03_VC53,HC03_VC62,HC03_VC63,HC03_VC65,HC03_VC66,HC03_VC67,HC03_VC68,HC03_VC70,HC03_VC71,HC03_VC72,HC03_VC76,HC03_VC77,HC03_VC78,HC03_VC79,HC03_VC80,HC03_VC81,HC03_VC85,HC03_VC86,HC03_VC87,HC03_VC88,HC03_VC89,HC03_VC90,HC03_VC91,HC03_VC92,HC03_VC95,HC03_VC96,HC03_VC100,HC03_VC101,HC03_VC105,HC03_VC106,HC03_VC108,HC03_VC109,HC03_VC111,HC03_VC112,HC03_VC114,HC03_VC115,HC03_VC119,HC03_VC120,HC03_VC121,HC03_VC122,HC03_VC123,HC03_VC124,HC03_VC125,HC03_VC126,HC03_VC130,HC03_VC131,HC03_VC132,HC03_VC133,HC03_VC134,HC03_VC135,HC03_VC136,HC03_VC140,HC03_VC141,HC03_VC142,HC03_VC146,HC03_VC149,HC03_VC150,HC03_VC151,HC03_VC154,HC03_VC155,HC03_VC156,HC03_VC160,HC03_VC161,HC03_VC162,HC03_VC163,HC03_VC164,HC03_VC165,HC03_VC166,HC03_VC170,HC03_VC171,HC03_VC172,HC03_VC173,HC03_VC174,HC03_VC175,HC03_VC176,HC03_VC177,HC03_VC178,HC03_VC179,HC03_VC180,HC03_VC181,HC03_VC185,HC03_VC186,HC03_VC187,HC03_VC188,HC03_VC189,HC03_VC190,HC03_VC191,HC03_VC192,HC03_VC193,HC03_VC194,HC03_VC195,HC03_VC196,HC03_VC197,HC03_VC198,HC03_VC199,HC03_VC200,HC03_VC201,HC03_VC202,HC03_VC203,HC03_VC204,HC03_VC205,HC03_VC206,HC03_VC207,HC03_VC208,HC03_VC209,HC03_VC210,HC03_VC211,HC03_VC212
2010,21001,7272,68.8,24.4,26.7,56.7,20.7,5.2,2.2,6.9,3.8,31.2,28,31.1,29.1,41.4,23.4,27.6,3.9,3.6,1.7,1.4,24.7,57.8,2.4,3,12.1,12.9,21.9,55.8,1.5,11,9.8,10.9,0,3.5,87.1,86.1,0,43.9,11.1,22.8,30.1,44.5,78.4,4.2,4.3,43.7,19,28.9,34,15,16.3,35.2,14.3,4.8,6.6,7.8,6.3,73.7,13.9,14606,9.4,18444,4161,4054,11371,11504,2892,2886,48.4,15.1,7.3,7.8,4.1,3.7,0,1.2,0,98.9,75.1,23.7,0.5,0.7,0.4,0.9,42.5,29.1,70.9,85,68,127,44.1,172,7.6,127,0,41.7,5.5,0,0,34.3,17429,0.9,1.6,0.3,1.1,0.3,0.4,0.2,0.6,0,0,0.3,0,0,0,1.4,19.3,1.3,0.8,8.3,0.1,0.3,9.8,1.8,0.1,0.1,0.8,0.2,0,2,0.4,0,0.4,0.1,0,0,1.1,0,0,0.1,0
2010,21003,7811,70.7,28.3,30.3,51.4,19.4,6.1,2.8,13.3,8,29.3,25.5,34.1,25.5,40.5,20.9,29.3,5.8,3.5,2.7,2.3,25.3,56.1,2.1,4.2,12.3,9.9,18.8,51.8,4.1,13.1,12.3,12.4,30,23.6,65.8,57.6,0,13.6,52.2,29.8,57.3,89.5,85.8,2.6,6.7,46.9,27.5,16.4,20.4,14.5,11.9,39.5,17.7,5.9,6.2,4.4,5.2,76.4,12.7,15222,9.9,19861,4810,4876,12066,12099,2829,2886,42.1,14.3,8,6.3,3.7,2.5,0,2.3,0.2,96.9,67,29.9,1.5,1.7,2.3,1.4,63.7,17.7,82.3,290,454,325,31.7,282,5,325,0,42.5,28.3,0,3.9,37.2,18374,1.9,2,0.7,2.2,0.9,0.3,0.3,0,0,0.2,0,0,0,0.1,1.8,9.9,1.4,0.2,9.8,0,0,11.8,1.7,0,0.1,0.6,0.2,0,1.8,1.7,0.1,0,0,0,0,0.1,0,0,0.2,0
2010,21005,8319,73.9,33.2,33.3,58.3,22.7,3.2,2,12.4,8.6,26.1,20.8,37.7,20.7,39.8,23.1,27.1,5.3,4.6,3.2,3.2,22.1,63.4,1,2.5,11.1,13.9,16.4,56.1,3.6,8.8,15.1,15.3,17.6,26.3,71.4,66.2,10.3,21.7,25.7,25.1,68,65.3,64.6,5.2,6.7,43.7,23.6,20.7,21.1,4.4,8.4,40.8,22.1,7.1,10.3,7,8.5,87.2,20.4,16094,9.3,21432,5348,5450,13381,13363,2581,2619,35,15.3,7.3,8,7.6,0.4,0.1,0.4,0,97.7,79.2,18.6,0.5,1.7,0.7,1.4,33.3,63.8,36.2,113,151,363,54,309,0,363,2.8,55.9,1.4,0,0,55.3,19691,1.6,2,1.4,1,0.2,0.5,0,0,0,0,0,0,0.2,0.1,1.6,12.4,2.2,0.6,14.1,0,0.2,16.8,2.2,0,0.2,0.8,0,0.7,3.2,2.1,0,0.1,0.4,0.4,1,0.6,0,0.8,0.6,0.2
2010,21007,3363,71.6,23.4,29.8,59.5,21.6,5.7,4.1,6.4,4.1,28.4,24,31.6,29.3,40.9,24.4,27.3,2.4,5.1,2.7,1.7,19.7,62.3,1.6,4,12.4,11.9,15.7,59,1.2,12.2,11.9,11,41,16.1,100,61.1,3.9,80.4,7.8,11.6,56.9,92.2,64.4,6,7.4,45.2,21.2,20.2,18.8,5.8,13,40.9,23.2,6.4,4.4,6.3,6,84.4,13.1,6448,11.5,8159,1780,1817,4970,4901,1398,1441,38.4,11.6,7.1,4.5,2.6,1.8,0.1,1.3,0.1,98.6,58.6,40,0.3,1.1,0.2,1,57.6,67.5,32.5,22,15,92,32.6,80,12.5,92,0,17.4,2.2,0,0,28.8,7770,0.5,1.3,0.2,0.6,0.1,0.3,0.2,0,0,0,0,0,0,0,1.5,11.2,4.1,0.1,14,0.2,0,16.8,1.7,0.1,0.4,1,0,0.2,3.1,1,0.1,0.1,1.2,0,0,0.4,0.2,0,0.6,0
2010,21009,16727,70.1,31,28.8,54.9,21.4,2.8,0.8,12.3,6.6,29.9,26.5,33.3,27.4,40.7,22.2,28.4,5.6,3,1.8,1.5,22,61.2,2.3,3.8,10.7,11.5,18.6,54.2,2.5,13.6,11.1,12.8,42.7,49.4,54.6,58.1,9.1,13,11.5,15.7,62.3,73.7,87.1,6.8,4.8,47.1,23.9,17.5,18.9,12.6,10.4,40.5,15.6,5.9,8.9,6.1,5.8,79.2,14.7,32180,7.7,41658,10134,10238,25148,25213,6113,6207,43.4,11.7,8.2,3.5,2.2,1.3,0.3,1.3,0.2,98.3,78.7,19.6,0.2,1.5,0.2,1.6,58.2,26.3,73.7,103,104,620,32.7,680,15.9,620,0,50,12.9,0.6,0,54.9,38993,1.5,2.2,0.6,1.7,0.9,0.2,0,0,0,0.2,0,0,0.1,0,1.9,10.7,1.1,0.3,11.1,0.1,0.1,7.9,1.2,0,0.2,0.7,0.1,0,2.4,3.6,0.1,0.1,0.2,0.1,0,0.4,0.1,0,0.6,0
2010,21011,4338,71.2,29.8,32.2,55.9,20.1,2.1,1.9,13.1,10.2,28.8,25.1,39.8,23.1,38.3,21.7,27.5,8.6,3.9,2.3,3.1,24.2,57.4,1.4,1.6,15.4,14.9,20.5,50.6,3.7,10.6,14.6,13.2,35.4,55.1,91.6,79.3,7.4,48,32.8,8.8,44.2,66.4,53.5,3.6,9.9,44.2,27.8,14.5,14.5,12.2,15.6,38.2,14.4,6.3,7.8,5.4,3.1,73.9,12,8796,6.7,11633,2904,2936,7013,7011,1645,1686,46.4,16.3,10.2,6.1,5.6,0.5,0.3,0.5,0.3,99.6,86.5,13.1,0.1,0.3,0.2,0.8,45.5,30.7,69.3,8,25,33,100,88,0,33,0,100,0,0,0,95.5,10770,0.8,0.8,0.6,0.4,0.1,0.1,0.1,0,0,0,0,0,0,0,1.7,13.2,1.6,0,10.1,0,0,16.8,0.5,0,1.3,0.2,0,0,1.7,2.4,0,0,0.3,0.1,0,0.9,0,0,0.7,0
2010,21013,10902,69.5,26.3,26.6,48.3,15.8,6.5,2.6,14.7,8.2,30.5,27.2,31.7,29.5,39.5,19.1,27.7,9.5,4.3,2.2,2.2,30.5,52.6,2.6,3,11.3,13.6,20,45.5,3.9,16.3,14.4,14.8,36.1,43.8,74,67.9,4.7,13.8,46.6,34,55.9,80,74.6,4.6,5.3,43.9,23.5,22.7,19.6,16,18,34.6,14.6,5.5,4.9,6.4,6.1,68.3,10.8,22215,7.5,27508,6287,6183,17179,16991,4250,4334,56.9,11.3,7.3,4,1.8,2.2,0,2.3,0,99.5,78.9,20.6,0.3,0.3,0.5,0.3,28.8,77.2,22.8,73,146,80,28.8,92,0,80,0,45,11.3,0,0,16.3,27088,0.5,1.2,0.4,0.1,0.1,0,0,0.1,0,0.1,0,0,0,0,0.7,8.2,1.1,0,3.7,0.2,0.1,6.1,0.6,0,0,0.5,0,0,1,0.8,0,0.2,0.3,0,0,0.2,0,0,0.2,0
2010,21015,41612,73.3,37.2,37.6,58.9,28.8,4.3,2.5,10.1,6.4,26.7,21.5,40.2,16.9,36.5,21.6,33.6,4.4,3.9,2.2,1.8,27.8,59.7,1.8,1.8,8.8,9,21.3,57.2,1.6,7.1,12.9,12.7,28.3,29,44.1,37.5,9.7,4.9,16.3,14.4,60.5,76,82.3,7.8,5.9,45,21.9,19.4,20.8,3.2,6.3,30.9,22.6,8.8,18.8,9.3,10.4,91.9,30.4,87291,9.9,120480,33564,33877,73867,74778,11243,11825,38.2,14.3,6.2,8.2,5,3.2,0.5,3.5,0.6,94.6,53.3,41.4,0.9,4.4,0.7,4.5,60.6,41,59,1076,907,5075,48.5,5458,8.3,5075,0,26.1,6.8,10.4,0,24.9,105895,2.7,2.6,1.1,1.5,0.4,1.5,0.9,0.4,0.2,1.3,0.6,0.1,0.1,0.1,1.8,12.9,2.2,0.3,34.4,0.2,0.3,18.6,4.1,0.1,0.6,1.8,0.1,0.3,1.8,2.9,0.1,0.4,0.6,0.1,0.2,0.8,0.1,0.2,0.7,0
2010,21017,8132,68.2,29.4,30.8,48.2,20.8,3.4,1.4,16.6,8.7,31.8,28.5,35.1,24.3,41.6,20.1,28.8,5,4.5,2.3,2.2,30.6,53.9,1.1,3.9,10.5,11.2,20.5,47.5,2.1,14.9,15,16.1,70,50.8,51.1,64.4,15.5,2.5,24,37.5,75.1,45.4,67.3,7,3.9,48.8,24.3,16,17.4,8.9,9.2,39.3,18.6,6.6,11.2,6.3,5,81.6,15.8,15248,10.4,19735,4767,4751,11927,11936,3046,3048,37.2,15.2,9.1,6.1,4.9,1.1,0.7,0.9,0.2,94.7,78.8,16,1.1,4.2,0.5,5.2,75.9,17.6,82.4,212,92,837,57,1031,0,837,0,79.8,0.7,0,0.5,83,18740,2.5,5.1,2.5,0.3,0,0.3,0,0,0,0,0,0,0,0.1,1.2,11.5,1.9,0.1,12.4,0.1,0.1,14.4,1.5,0,0.4,0.9,0,0.2,2.1,1.3,0,0.1,0.4,0.4,0,0.4,0,0.1,0.2,0
2010,21019,19542,66.7,26.3,26,49.8,16.5,4.1,2,12.8,7.5,33.3,30.1,30.1,30.4,41.8,20.7,26.1,7.8,3.6,2.1,2.3,26.6,54.2,1.9,3.2,14,14.2,19.8,48.3,2.9,12.5,16.3,13.8,51.8,38.3,51.1,57.9,10.5,9.2,25.7,19.7,58.9,80.9,77.2,6.3,4.1,44.1,23.1,22.5,20.2,5.5,10.6,36.7,23.3,8,9.2,6.6,6.9,87.6,16.3,38774,11.2,47114,10469,10425,28699,28646,7972,8043,42.2,15.2,7.5,7.7,3.6,4.1,0.1,3.2,0.1,98.5,63.3,35.3,0.4,1.1,0.4,1.2,46.2,62.9,37.1,173,180,556,25.5,568,3.7,556,0,24.8,4.9,4.6,0,33.1,46410,0.9,1.1,0.7,0.7,0.2,0.3,0.1,0,0,0.1,0.1,0,0.2,0,1.7,12.7,1.6,0.2,13.7,0.2,0,19,1.7,0,0.3,0.6,0.1,0.1,2.4,2.2,0,0.3,0.3,0,0,0.7,0.5,0,1,0.2
